sample_id,n_B_Q1,n_B_Q4,n_T,mean_LGALS9_B_Q1,mean_LGALS9_B_Q4,mean_HAVCR2_T,Q1_strength,Q4_strength
raw_all__GSM5837004_AB10153.txt.gz,5,5,15,0.0,0.0,0.0,0.0,0.0
raw_all__GSM5837046_AB11879.txt.gz,7,7,21,0.2857142857142857,0.0,0.0,0.0,0.0
raw_all__GSM5837203_AB6688.txt.gz,6,6,92,0.0,0.0,0.021739130434782608,0.0,0.0
raw_all__GSM5837204_AB6689.txt.gz,7,7,114,0.0,0.0,0.02631578947368421,0.0,0.0
raw_all__GSM5837205_AB6692.txt.gz,6,6,76,0.16666666666666666,0.0,0.0,0.0,0.0
raw_all__GSM5837206_AB6693.txt.gz,12,12,96,0.08333333333333333,0.3333333333333333,0.020833333333333332,0.001736111111111111,0.006944444444444444
raw_all__GSM5837207_AB6694.txt.gz,11,11,132,0.0,0.09090909090909091,0.007575757575757576,0.0,0.0006887052341597796
raw_all__GSM5837208_AB6695.txt.gz,9,9,125,0.0,0.2222222222222222,0.008,0.0,0.0017777777777777776
raw_all__GSM5837209_AB6696.txt.gz,14,14,71,0.0,0.0,0.0,0.0,0.0
raw_all__GSM5837210_AB6697.txt.gz,12,12,93,0.08333333333333333,0.0,0.0,0.0,0.0
raw_all__GSM5837212_AB6837.txt.gz,10,10,104,0.0,0.1,0.009615384615384616,0.0,0.0009615384615384616
raw_all__GSM5837213_AB6838.txt.gz,9,9,56,0.0,0.1111111111111111,0.0,0.0,0.0
raw_all__GSM5837219_AB6851.txt.gz,11,11,66,0.0,0.09090909090909091,0.0,0.0,0.0
raw_all__GSM5837221_AB6853.txt.gz,15,15,59,0.0,0.06666666666666667,0.0,0.0,0.0
raw_all__GSM5837222_AB6854.txt.gz,5,5,53,0.0,0.2,0.0,0.0,0.0
raw_all__GSM5837223_AB6855.txt.gz,5,5,37,0.0,0.0,0.0,0.0,0.0
raw_all__GSM5837224_AB6856.txt.gz,11,11,58,0.0,0.18181818181818182,0.0,0.0,0.0
raw_all__GSM5837225_AB6857.txt.gz,9,9,19,0.0,0.1111111111111111,0.0,0.0,0.0
